Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
1,0,Saturday,No,25.13943344,43.4315812,1565.693999,5,On,Off,2.774698792,75.3643734
1,1,Saturday,No,27.73165052,54.22591858,1411.064918,1,On,On,21.83138415,83.40185495
1,2,Saturday,No,28.70427686,58.90765774,1755.715009,2,Off,Off,6.764671682,78.27088774
1,3,Saturday,No,20.08046949,50.37163715,1452.316318,1,Off,On,8.623446893,56.51985049
1,4,Saturday,No,23.09735926,51.40142134,1094.130359,9,On,Off,3.071969216,70.81173247
1,5,Saturday,Yes,29.57603739,36.82426323,1871.70918,6,Off,Off,17.62668982,84.32188519
1,6,Saturday,Yes,25.13116712,35.70962155,1607.001228,6,On,Off,24.26470233,76.1657909
1,7,Saturday,Yes,23.18284425,31.67991978,1633.95533,8,Off,Off,27.51709925,74.13190618
1,8,Saturday,No,25.39199937,46.39936405,1240.309224,6,On,Off,2.307595469,78.20623587
1,9,Saturday,No,22.21254942,32.41846388,1705.420336,1,On,Off,29.14007098,77.9922137
1,10,Saturday,Yes,28.06481358,36.45147179,1341.467129,2,Off,Off,0.352238397,82.27443448
1,11,Saturday,Yes,23.42254626,30.52734216,1604.418355,6,On,On,19.52954815,73.2786695
1,12,Saturday,Yes,25.38888849,47.60101803,1244.618914,1,On,Off,21.7974436,84.14477566
1,13,Saturday,Yes,20.05873786,41.86164159,1806.052632,2,Off,Off,6.384949152,60.02251856
1,14,Saturday,Yes,26.73152478,37.29787045,1419.749014,6,Off,Off,12.07422314,81.18318756
1,15,Saturday,No,22.10024262,56.09917872,1144.806295,8,Off,On,10.90077003,74.08125629
1,16,Saturday,No,29.32557593,56.95417357,1620.861781,0,On,On,15.45399947,89.49820766
1,17,Saturday,Yes,23.74244749,42.24584548,1413.595107,1,On,Off,3.940678288,72.87244264
1,18,Saturday,No,27.52418922,47.17242968,1832.199779,9,On,Off,19.68895831,83.8998966
1,19,Saturday,Yes,27.63139002,36.14029374,1251.553721,4,On,On,8.848082816,82.0775794
1,20,Saturday,Yes,28.70499455,59.93189479,1211.261802,9,On,On,11.70397774,94.23628773
1,21,Saturday,Yes,21.10111178,30.41800645,1677.105261,3,Off,Off,14.51720371,59.67238043
1,22,Saturday,No,23.0009198,43.63838293,1228.322377,1,Off,Off,4.302844586,70.23522762
1,23,Saturday,No,24.74905766,57.21684865,1253.70886,6,On,On,0.660337546,78.39420777
1,0,Sunday,No,26.72936719,46.19408777,1533.887523,8,On,Off,18.58103401,87.84164466
1,1,Sunday,Yes,22.57592433,57.74957192,1040.206215,8,Off,On,8.906945509,72.92984426
1,2,Sunday,No,27.0115132,52.63757188,1701.255341,9,On,On,24.05135508,86.66909405
1,3,Sunday,No,26.57000059,43.33031196,1126.062798,7,Off,On,2.943403432,80.41142776
1,4,Sunday,Yes,21.82007758,56.85518813,1289.616033,3,Off,On,25.51377464,64.212098
1,5,Sunday,No,23.22062993,46.07387943,1649.510353,2,Off,On,18.27052819,74.16033755
1,6,Sunday,Yes,28.87537457,31.80313045,1887.201723,5,On,On,24.46883621,81.04958057
